Country Name,Country Code,Series Name,Series Code,2013 [YR2013]
Argentina,ARG,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..
Argentina,ARG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,3.77771357343663
Argentina,ARG,Urban population,SP.URB.TOTL,38902130
Argentina,ARG,Urban population (% of total),SP.URB.TOTL.IN.ZS,91.452
Argentina,ARG,Urban population growth (annual %),SP.URB.GROW,1.21888727519024
Argentina,ARG,"Water productivity, total (constant 2005 US$ GDP per cubic meter of total freshwater withdrawal)",ER.GDP.FWTL.M3.KD,8.67919206840226
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 02/17/2016,,,,
